radiologist,inferred_pathology,volume_category,radiomic_category,with_segmentation,correct_prediction,confidence,response_time
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,25.906937122344971
Radiologist #9,Presurgical glioma,,,True,1,9,64.838101863861084
Radiologist #9,Postoperative glioma resection,,,True,1,8,21.284409046173096
Radiologist #9,Presurgical glioma,,,True,1,6,10.937214851379396
Radiologist #9,Presurgical glioma,,,True,0,6,10.362247705459597
Radiologist #9,Metastases,Micro,Well-circumscribed Single,True,0,5,27.98120903968811
Radiologist #9,Presurgical glioma,,,True,1,9,7.6585824489593506
Radiologist #9,Presurgical glioma,,,True,1,9,8.6029610633850098
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,7,17.289247274398804
Radiologist #10,Paediatric presurgical tumour,Medium,Infiltrative Single,False,1,9,42.346545219421387
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,0,7,40.845056056976318
Radiologist #10,Presurgical glioma,,,False,0,6,48.618790149688721
Radiologist #10,Postoperative glioma resection,,,False,1,6,84.969313859939575
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,1,8,40.872522115707397
Radiologist #10,Metastases,Micro,Irregular/Complex Single,False,0,8,61.497947931289673
Radiologist #10,Paediatric presurgical tumour,,,False,0,9,29.368295431137085
Radiologist #10,Postoperative glioma resection,,,False,1,6,68.703555107116699
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,1,10,21.294864177703857
Radiologist #10,Presurgical glioma,,,False,1,9,28.869794845581051
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,1,10,22.585803270339969
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,1,7,46.435988664627082
Radiologist #10,Presurgical glioma,,,False,1,6,105.9645357131958
Radiologist #10,Presurgical glioma,,,False,1,10,27.790868043899536
Radiologist #10,Postoperative glioma resection,,,False,1,6,85.098811864852905
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,1,2,84.43754768371582
Radiologist #10,Postoperative glioma resection,,,False,1,6,90.328189373016357
Radiologist #10,Postoperative glioma resection,,,False,1,9,64.912279367446899
Radiologist #10,Postoperative glioma resection,,,False,1,6,87.898863554000854
Radiologist #10,Presurgical glioma,,,False,0,7,103.6689293384552
Radiologist #10,Presurgical glioma,,,False,1,6,53.598575115203857
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,1,8,36.363443613052368
Radiologist #10,Presurgical glioma,,,False,1,10,35.205644607543945
Radiologist #10,Meningioma,Very Large,Irregular/Complex Single,False,1,10,19.553398609161377
Radiologist #10,Postoperative glioma resection,,,False,1,7,90.455892562866197
Radiologist #10,Presurgical glioma,,,False,1,9,32.926126480102539
Radiologist #10,Postoperative glioma resection,Very Large,Infiltrative Single,False,1,7,55.989952325820923
Radiologist #10,Paediatric presurgical tumour,Small,Well-circumscribed Single,False,1,8,54.437577724456787
Radiologist #10,Postoperative glioma resection,,,False,1,8,84.335695743560791
Radiologist #10,Presurgical glioma,,,False,1,8,55.508689880371087
Radiologist #10,Presurgical glioma,,,False,1,10,21.240863800048828
Radiologist #10,Presurgical glioma,,,False,0,10,39.319121599197388
Radiologist #10,Postoperative glioma resection,,,False,0,10,31.723967313766479
Radiologist #10,Presurgical glioma,,,False,0,7,61.89672589302063
Radiologist #10,Metastases,Large,Multiple,False,0,5,119.68923354148863
Radiologist #10,Presurgical glioma,,,False,1,5,69.976022720336914
Radiologist #10,Presurgical glioma,Very Large,Irregular/Complex Single,False,1,10,39.54822301864624
Radiologist #10,Postoperative glioma resection,,,False,0,6,45.728493213653564
Radiologist #10,Presurgical glioma,Small,Well-circumscribed Single,False,1,9,51.975989818572998
Radiologist #10,Paediatric presurgical tumour,,,False,0,6,32.61424994468689
Radiologist #10,Presurgical glioma,,,False,0,5,74.069185972213745
Radiologist #10,Presurgical glioma,,,False,1,10,49.330143690109253
Radiologist #10,Presurgical glioma,,,False,0,3,81.145562410354614
Radiologist #10,Postoperative glioma resection,,,False,1,6,182.35752058029172
Radiologist #10,Meningioma,Very Large,Irregular/Complex Single,False,1,6,65.826020956039429
Radiologist #10,Postoperative glioma resection,,,False,1,7,40.451459407806396
Radiologist #10,Presurgical glioma,Small,Irregular/Complex Single,False,1,3,64.753560543060303
Radiologist #10,Postoperative glioma resection,,,False,1,7,46.83620548248291
Radiologist #10,Presurgical glioma,Medium,Infiltrative Single,False,1,2,155.46813702583313
Radiologist #10,Presurgical glioma,Medium,Irregular/Complex Single,False,1,9,29.624920845031738
Radiologist #10,Metastases,Micro,Well-circumscribed Single,False,0,5,99.616270780563354
Radiologist #10,Presurgical glioma,Large,Multiple,False,0,7,45.840775489807129
Radiologist #10,Postoperative glioma resection,Medium,Infiltrative Single,False,0,8,47.201640129089363
Radiologist #10,Metastases,Very Large,Multiple,False,1,5,58.694062471389771
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,1,10,26.013152360916138
Radiologist #10,Presurgical glioma,,,False,1,8,143.34284901618958
Radiologist #10,Presurgical glioma,,,False,1,8,31.489612579345703
Radiologist #10,Meningioma,Small,Well-circumscribed Single,False,0,10,38.859529256820679
Radiologist #10,Presurgical glioma,Small,Irregular/Complex Single,False,1,3,100.17609310150146
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,1,5,41.426547050476081
Radiologist #10,Presurgical glioma,Very Large,Irregular/Complex Single,False,1,4,56.890956878662109
Radiologist #10,Postoperative glioma resection,,,False,1,8,28.439285516738892
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,0,8,64.275675296783447
Radiologist #10,Presurgical glioma,,,False,1,9,62.084070920944207
Radiologist #10,Presurgical glioma,,,False,1,9,26.610470056533813
Radiologist #10,Presurgical glioma,Medium,Irregular/Complex Single,False,1,10,19.413109064102173
Radiologist #10,Presurgical glioma,,,False,0,10,27.417901277542114
Radiologist #10,Presurgical glioma,,,False,1,8,66.030023813247681
Radiologist #10,Postoperative glioma resection,,,False,1,5,98.766782999038696
Radiologist #10,Meningioma,Very Large,Well-circumscribed Single,False,1,10,31.012325286865234
Radiologist #10,Presurgical glioma,Very Large,Irregular/Complex Single,False,1,10,43.010403633117683
Radiologist #10,Presurgical glioma,,,False,1,8,54.175655841827393
Radiologist #10,Presurgical glioma,Medium,Irregular/Complex Single,False,1,2,154.26566243171692
Radiologist #10,Presurgical glioma,Large,Infiltrative Single,False,0,4,73.550530910491943
Radiologist #10,Postoperative glioma resection,,,False,1,9,29.848599910736084
Radiologist #10,Presurgical glioma,,,False,0,8,32.956786632537842
Radiologist #10,Presurgical glioma,,,False,0,3,144.91674208641052
Radiologist #10,Meningioma,Medium,Well-circumscribed Single,False,1,10,22.898443937301639
Radiologist #10,Presurgical glioma,Medium,Irregular/Complex Single,False,1,7,37.023072004318237
Radiologist #10,Presurgical glioma,Very Large,Irregular/Complex Single,False,1,6,25.140605926513672
Radiologist #10,Presurgical glioma,,,False,1,6,75.64358377456665
Radiologist #10,Postoperative glioma resection,,,False,1,7,40.188888072967529
Radiologist #10,Presurgical glioma,,,False,0,6,97.280301809310913
Radiologist #10,Presurgical glioma,Medium,Well-circumscribed Single,False,1,9,29.828474283218384
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,False,1,7,82.027087688446045
Radiologist #10,Postoperative glioma resection,,,False,1,5,74.377926826477051
Radiologist #10,Postoperative glioma resection,,,False,0,5,29.685553550720211
Radiologist #10,Presurgical glioma,,,False,1,7,17.606068849563599
Radiologist #10,Presurgical glioma,,,False,1,6,60.50199818611145
Radiologist #10,Postoperative glioma resection,,,False,1,6,63.15487813949585
Radiologist #10,Presurgical glioma,Micro,Irregular/Complex Single,False,0,8,27.370328903198239
Radiologist #10,Postoperative glioma resection,,,False,1,8,151.62573575973511
Radiologist #10,Presurgical glioma,,,False,0,8,61.713836669921882
Radiologist #10,Presurgical glioma,,,False,1,4,54.109192609786987
Radiologist #10,Presurgical glioma,,,False,1,7,16.849921464920044
Radiologist #10,Postoperative glioma resection,,,False,1,8,33.152518510818481
Radiologist #10,Presurgical glioma,,,False,0,4,52.685702800750732
Radiologist #10,Presurgical glioma,Large,Infiltrative Single,False,1,6,49.105305910110481
Radiologist #10,Presurgical glioma,Micro,Irregular/Complex Single,False,0,7,36.643333673477173
Radiologist #10,Postoperative glioma resection,Very Large,Infiltrative Single,False,1,8,261.76307535171509
Radiologist #10,Paediatric presurgical tumour,Medium,Infiltrative Single,True,1,9,134.84175181388855
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,139.58170557022095
Radiologist #10,Presurgical glioma,,,True,0,6,305.57252883911133
Radiologist #10,Postoperative glioma resection,,,True,1,8,22.80902886390686
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,True,1,7,55.306949138641357
Radiologist #10,Metastases,Micro,Irregular/Complex Single,True,0,7,30.38385272026062
Radiologist #10,Paediatric presurgical tumour,,,True,0,8,28.33637809753418
Radiologist #10,Postoperative glioma resection,,,True,1,8,75.62968635559082
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,True,1,10,25.340535879135128
Radiologist #10,Presurgical glioma,,,True,1,10,28.15639853477478
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,26.5966637134552
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,30.383314371109009
Radiologist #10,Presurgical glioma,,,True,1,9,29.587882518768311
Radiologist #10,Presurgical glioma,,,True,1,8,28.454787492752075
Radiologist #10,Postoperative glioma resection,,,True,0,6,63.954319953918457
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,True,1,5,27.29167366027832
Radiologist #10,Postoperative glioma resection,,,True,1,5,25.865266799926761
Radiologist #10,Postoperative glioma resection,,,True,1,7,83.185742378234863
Radiologist #10,Postoperative glioma resection,,,True,0,5,96.749610900878906
Radiologist #10,Presurgical glioma,,,True,1,6,33.004743099212646
Radiologist #10,Presurgical glioma,,,True,1,7,30.46701002120972
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,True,1,7,103.07857370376588
Radiologist #10,Presurgical glioma,,,True,1,8,26.2156822681427
Radiologist #10,Meningioma,Very Large,Irregular/Complex Single,True,1,10,17.171556711196899
Radiologist #10,Postoperative glioma resection,,,True,0,4,105.085294008255
Radiologist #10,Presurgical glioma,,,True,1,6,33.198486328125
Radiologist #10,Postoperative glioma resection,Very Large,Infiltrative Single,True,1,7,27.259287118911743
Radiologist #10,Paediatric presurgical tumour,Small,Well-circumscribed Single,True,1,5,29.999919891357425
Radiologist #10,Postoperative glioma resection,,,True,0,5,35.81230092048645
Radiologist #10,Presurgical glioma,,,True,1,6,38.663121461868286
Radiologist #10,Presurgical glioma,,,True,1,9,27.78187203407288
Radiologist #10,Presurgical glioma,,,True,1,8,27.827016830444336
Radiologist #10,Postoperative glioma resection,,,True,0,10,26.499330520629883
Radiologist #10,Presurgical glioma,,,True,0,8,38.054240465164185
Radiologist #10,Metastases,Large,Multiple,True,1,7,41.474556922912598
Radiologist #10,Presurgical glioma,,,True,1,5,35.36202597618103
Radiologist #10,Presurgical glioma,Very Large,Irregular/Complex Single,True,1,5,30.257348537445068
Radiologist #10,Postoperative glioma resection,,,True,0,7,34.503070592880249
Radiologist #10,Presurgical glioma,Small,Well-circumscribed Single,True,1,6,36.666471481323242
Radiologist #10,Paediatric presurgical tumour,,,True,0,7,37.706593990325928
Radiologist #10,Presurgical glioma,,,True,0,7,28.257204294204712
Radiologist #10,Presurgical glioma,,,True,1,8,24.083346128463745
Radiologist #10,Presurgical glioma,,,True,0,7,28.6521897315979
Radiologist #10,Postoperative glioma resection,,,True,0,6,49.123683929443359
Radiologist #10,Meningioma,Very Large,Irregular/Complex Single,True,0,5,25.983596801757809
Radiologist #10,Postoperative glioma resection,,,True,1,6,40.798625469207757
Radiologist #10,Presurgical glioma,Small,Irregular/Complex Single,True,1,6,80.049417734146118
Radiologist #10,Postoperative glioma resection,,,True,1,7,36.269861698150642
Radiologist #10,Presurgical glioma,Medium,Infiltrative Single,True,1,7,35.070529937744141
Radiologist #10,Presurgical glioma,Medium,Irregular/Complex Single,True,1,6,32.446979999542243
Radiologist #10,Metastases,Micro,Well-circumscribed Single,True,0,5,71.575489044189453
Radiologist #10,Presurgical glioma,Large,Multiple,True,0,4,113.34083271026611
Radiologist #10,Postoperative glioma resection,Medium,Infiltrative Single,True,1,5,37.75265097618103
Radiologist #10,Metastases,Very Large,Multiple,True,1,7,24.790901660919189
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,True,1,7,34.423828840255737
Radiologist #10,Presurgical glioma,,,True,1,7,27.639671087265011
Radiologist #10,Presurgical glioma,,,True,1,9,20.76150107383728
Radiologist #10,Meningioma,Small,Well-circumscribed Single,True,0,9,18.074038982391361
Radiologist #10,Presurgical glioma,Small,Irregular/Complex Single,True,1,6,20.726675510406491
Radiologist #10,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,22.91823935508728
